"year","location","one_year_old"
"1997","C","no"
"1998","A","no"
"1998","C","yes"
"1997","C","no"
"1997","C","no"
"1997","A","no"
"1997","A","no"
"1998","B","no"
"1998","C","yes"
"1997","A","no"
"1997","B","no"
"1998","A","yes"
"1998","A","yes"
"1997","B","yes"
"1998","B","yes"
"1998","B","yes"
"1998","C","yes"
"1998","B","yes"
"1998","A","yes"
"1998","B","yes"
"1997","B","no"
"1998","A","yes"
"1997","B","no"
"1998","B","no"
"1997","B","yes"
"1997","C","no"
"1998","B","yes"
"1998","C","yes"
"1998","B","yes"
"1998","A","no"
"1997","A","no"
"1997","B","yes"
"1997","A","no"
"1998","A","yes"
"1997","A","no"
"1998","A","yes"
"1997","A","no"
"1998","B","no"
"1997","A","no"
"1997","B","no"
"1998","B","no"
"1997","A","yes"
"1997","B","no"
"1998","C","no"
"1997","B","no"
"1997","A","no"
"1997","B","no"
"1998","B","no"
"1998","A","yes"
"1998","C","no"
"1998","B","yes"
"1997","C","no"
"1998","C","yes"
"1997","C","no"
"1998","C","no"
"1998","C","yes"
"1997","C","no"
"1997","B","yes"
"1997","B","yes"
"1998","A","yes"
"1998","B","no"
"1998","B","yes"
"1997","B","no"
"1998","B","yes"
"1997","A","no"
"1998","A","yes"
"1997","C","no"
"1997","A","no"
"1998","A","yes"
"1998","C","no"
"1998","C","yes"
"1998","A","no"
"1997","A","no"
"1997","A","no"
"1998","A","yes"
"1998","B","yes"
"1997","C","no"
"1998","B","no"
"1997","A","yes"
"1998","B","yes"
"1997","C","no"
"1998","C","yes"
"1997","B","no"
"1997","C","no"
"1997","C","no"
"1997","A","no"
"1998","A","yes"
"1998","C","no"
"1998","A","yes"
"1997","A","no"
"1998","C","no"
"1997","A","no"
"1998","B","no"
"1997","B","no"
"1998","B","no"
"1997","B","no"
"1998","B","yes"
"1997","C","no"
"1998","A","no"
"1998","A","yes"
"1998","C","no"
"1997","C","no"
"1998","A","yes"
"1997","C","no"
"1997","A","no"
"1997","B","no"
"1997","C","no"
"1997","C","no"
"1998","A","yes"
"1998","A","no"
"1997","A","no"
"1998","B","yes"
"1998","A","no"
"1997","A","no"
"1997","A","yes"
"1998","C","no"
"1998","C","yes"
"1998","A","yes"
"1998","C","no"
"1998","C","no"
"1998","B","yes"
"1998","B","no"
"1998","A","yes"
"1997","C","no"
"1998","A","yes"
"1998","C","no"
"1997","B","no"
"1998","A","yes"
"1998","B","yes"
"1997","B","no"
"1998","B","yes"
"1998","C","yes"
"1998","B","yes"
"1997","C","no"
"1997","C","no"
"1997","C","no"
"1998","B","no"
"1997","B","no"
"1998","C","no"
"1997","B","no"
"1998","C","no"
"1998","A","yes"
"1998","B","no"
"1997","C","no"
"1998","A","yes"
"1997","B","no"
"1998","B","no"
"1997","A","yes"
"1997","C","no"
"1998","C","no"
"1997","C","no"
"1998","B","yes"
"1997","A","no"
"1998","A","yes"
"1998","A","yes"
"1997","A","yes"
"1997","B","no"
"1997","C","yes"
"1998","B","yes"
"1998","B","no"
"1998","B","no"
"1998","B","yes"
"1997","A","no"
"1997","A","no"
"1997","A","no"
"1997","C","no"
"1998","B","yes"
"1997","B","no"
"1998","C","no"
"1997","B","yes"
"1997","A","yes"
"1998","C","yes"
"1997","A","no"
"1997","C","no"
"1998","B","yes"
"1997","C","no"
"1997","C","no"
"1997","A","no"
"1998","C","yes"
"1998","C","no"
"1997","A","no"
"1998","A","yes"
"1998","A","no"
"1997","A","no"
"1997","A","no"
"1998","B","yes"
"1997","B","no"
"1998","A","yes"
"1997","C","yes"
"1997","A","no"
"1997","B","no"
"1997","B","no"
"1997","C","no"
"1998","A","no"
"1997","C","no"
"1998","A","yes"
"1998","B","yes"
"1997","A","no"
"1998","C","no"
"1998","C","no"
"1997","A","no"
"1998","B","yes"
"1998","B","yes"
"1997","B","no"
"1998","A","no"
"1998","C","no"
"1997","A","no"
"1997","C","no"
"1997","B","no"
"1997","B","no"
"1997","A","no"
"1997","B","no"
"1997","A","no"
"1998","C","no"
"1998","C","no"
"1998","C","no"
"1998","A","yes"
"1998","A","yes"
"1998","A","yes"
"1998","A","yes"
"1997","C","no"
"1997","B","no"
"1998","A","yes"
"1997","B","no"
"1998","B","no"
"1998","B","no"
"1998","C","no"
"1997","B","yes"
"1997","A","yes"
"1997","B","no"
"1998","A","yes"
"1997","B","no"
"1998","A","yes"
"1998","A","no"
"1997","A","no"
"1998","C","no"
"1997","C","no"
"1998","A","no"
"1997","B","no"
"1997","C","no"
"1997","C","no"
"1997","C","no"
"1997","C","no"
"1997","B","no"
"1997","A","no"
"1997","C","no"
"1998","B","no"
"1998","A","yes"
"1997","C","no"
"1998","B","no"
"1997","C","no"
"1998","B","no"
"1998","A","yes"
"1998","C","no"
"1998","C","no"
"1997","A","yes"
"1997","B","yes"
"1997","B","no"
"1997","A","no"
"1998","C","no"
"1997","B","no"
"1998","A","yes"
"1998","C","yes"
"1997","C","no"
"1997","B","no"
"1997","B","yes"
"1997","A","yes"
"1998","C","yes"
"1998","C","no"
"1997","C","no"
"1998","C","no"
"1997","C","no"
"1998","C","no"
"1997","C","no"
"1998","C","yes"
"1997","A","no"
"1997","B","no"
"1997","B","no"
"1997","A","no"
"1998","A","no"
"1997","B","no"
"1998","A","yes"
"1998","C","no"
"1997","B","no"
"1997","A","no"
"1998","B","yes"
"1997","A","no"
"1997","C","no"
"1998","B","yes"
"1997","C","no"
"1997","C","no"
"1998","B","yes"
"1997","B","no"
"1997","C","no"
"1998","C","no"
"1997","B","no"
"1998","C","no"
"1998","C","no"
"1998","C","no"
"1998","B","yes"
