year_start,year_end,total_snow
1920,1921,671
1921,1922,723
1922,1923,565
1923,1924,551
1924,1925,674
1925,1926,373
1926,1927,588
1927,1928,405
1928,1929,554
1929,1930,390
1930,1931,444
1931,1932,751
1932,1933,624
1933,1934,316
1934,1935,543
1935,1936,605
1936,1937,693
1937,1938,511
1938,1939,573
1939,1940,313
1940,1941,529
1941,1942,446
1942,1943,529
1943,1944,
1944,1945,
1945,1946,
1946,1947,529
1947,1948,661
1948,1949,
1949,1950,
1950,1951,
1951,1952,
1952,1953,
1953,1954,
1954,1955,708
1955,1956,1000
1956,1957,619
1957,1958,602
1958,1959,646
1959,1960,564
1960,1961,685
1961,1962,545
1962,1963,452
1963,1964,429
1964,1965,538
1965,1966,583
1966,1967,692
1967,1968,502
1968,1969,829
1969,1970,649
1970,1971,884
1971,1972,1122
1972,1973,577
1973,1974,1070
1974,1975,820
1975,1976,858
1976,1977,414
1977,1978,598
1978,1979,583
1979,1980,645
1980,1981,460
1981,1982,779
1982,1983,681
1983,1984,727
1984,1985,711
1985,1986,589
1986,1987,574
1987,1988,626
1988,1989,755
1989,1990,723
1990,1991,725
1991,1992,499
1992,1993,550
1993,1994,593
1994,1995,732
1995,1996,658
1996,1997,938
1997,1998,674
1998,1999,1032.5
1999,2000,753
2000,2001,491
2001,2002,837
2002,2003,575
2003,2004,674
2004,2005,409
2005,2006,758
2006,2007,665
2007,2008,947
2008,2009,734
2009,2010,609
2010,2011,907
2011,2012,698
2012,2013,741
2013,2014,590
2014,2015,266
2015,2016,698
2016,2017,703
2017,2018,738
2018,2019,543
2019,2020,530
